,Name,Channel,Start_day,Start_time,End_day,End_time,Frames,CD,Durations,Average_people_per_frame_mean,Average_people_per_frame_up,Average_people_per_frame_down
299,NVR-CH06_S20210608-173117_E20210608-173202.mp4,6,2021-08-06,17:31:17,08/06/2021,17:32:02,441,0,0:00:45,5.509090909090909,6.678748625499312,4.339433192682506
532,NVR-CH06_S20210609-111136_E20210609-111336.mp4,6,2021-09-06,11:11:36,09/06/2021,11:13:36,1201,0,0:02:00,5.4366666666666665,7.502900492307468,3.370432841025865
179,NVR-CH06_S20210608-115756_E20210608-115819.mp4,6,2021-08-06,11:57:56,08/06/2021,11:58:19,201,0,0:00:23,5.36,6.121839878189636,4.5981601218103645
155,NVR-CH06_S20210608-112822_E20210608-112924.mp4,6,2021-08-06,11:28:22,08/06/2021,11:29:24,641,0,0:01:02,5.071875,6.119710380379476,4.024039619620525
321,NVR-CH06_S20210608-174701_E20210608-174739.mp4,6,2021-08-06,17:47:01,08/06/2021,17:47:39,361,0,0:00:38,5.008333333333334,5.816236999207758,4.200429667458909
298,NVR-CH06_S20210608-173100_E20210608-173124.mp4,6,2021-08-06,17:31:00,08/06/2021,17:31:24,241,0,0:00:24,4.933333333333334,5.820588776947078,4.046077889719589
505,NVR-CH06_S20210609-085053_E20210609-085125.mp4,6,2021-09-06,08:50:53,09/06/2021,8:51:25,321,0,0:00:32,4.696875,5.938845303338611,3.45490469666139
156,NVR-CH06_S20210608-112929_E20210608-113357.mp4,6,2021-08-06,11:29:29,08/06/2021,11:33:57,2661,0,0:04:28,4.594736842105263,6.469292059103415,2.720181625107111
173,NVR-CH06_S20210608-114858_E20210608-114938.mp4,6,2021-08-06,11:48:58,08/06/2021,11:49:38,381,0,0:00:40,4.5394736842105265,5.540010243863504,3.538937124557549
564,NVR-CH06_S20210609-113456_E20210609-113543.mp4,6,2021-09-06,11:34:56,09/06/2021,11:35:43,481,0,0:00:47,4.529166666666667,5.518265232140413,3.540068101192921
154,NVR-CH06_S20210608-112708_E20210608-112828.mp4,6,2021-08-06,11:27:08,08/06/2021,11:28:28,801,0,0:01:20,4.505,5.470647451195311,3.5393525488046893
761,NVR-CH06_S20210609-182114_E20210609-182203.mp4,6,2021-09-06,18:21:14,09/06/2021,18:22:03,481,0,0:00:49,4.502083333333333,5.310886354092337,3.6932803125743296
498,NVR-CH06_S20210609-084539_E20210609-084616.mp4,6,2021-09-06,08:45:39,09/06/2021,8:46:16,361,0,0:00:37,4.4527777777777775,5.373522075467639,3.5320334800879163
296,NVR-CH06_S20210608-173000_E20210608-173040.mp4,6,2021-08-06,17:30:00,08/06/2021,17:30:40,401,0,0:00:40,4.45,5.242148975887743,3.657851024112257
504,NVR-CH06_S20210609-084956_E20210609-085058.mp4,6,2021-09-06,08:49:56,09/06/2021,8:50:58,641,0,0:01:02,4.4125,4.950290619107474,3.8747093808925257
563,NVR-CH06_S20210609-113423_E20210609-113506.mp4,6,2021-09-06,11:34:23,09/06/2021,11:35:06,441,0,0:00:43,4.4,5.5615037275406864,3.2384962724593143
518,NVR-CH06_S20210609-110211_E20210609-110251.mp4,6,2021-09-06,11:02:11,09/06/2021,11:02:51,401,0,0:00:40,4.3675,4.969533014044911,3.7654669859550887
